ID,FechaConsulta,Fuente,Ref,Municipio,Barrio,Precio,Habitaciones,Banos,Area,TipoArrendador,Arrendador,Contacto,URL,Latitud,Longitud,LatitudBaseSector,LongitudBaseSector,PrecisionUbicacion,DistClinicaKm,EstacionMetro,LineaMetro,DistMetroKm,DentroPresupuesto,CumplePerfil,Score,Prioridad,Recomendacion,GoogleMaps,Notas
1,2026-07-09,Fincaraiz,turn8search326,Medellin,Calasanz,2400000,2,1,70,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/10647620,6.263002,-75.603956,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.27,Floresta,B,0.63,Si,Si,83.0,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.263002,-75.603956","[URL EXACTA VERIFICADA] Calasanz; 2 hab, 1 baño, 70 m²"
2,2026-07-09,Fincaraiz,turn9search352,Medellin,Calasanz,2700000,4,2,75,Inmobiliaria,Maxibienes S.A.S,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193740009,6.263119,-75.603401,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.21,Floresta,B,0.64,Si,Si,83.0,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.263119,-75.603401","[URL EXACTA VERIFICADA] Calasanz; 4 hab, 2 baños, 75 m²"
3,2026-07-09,Metrocuadrado,turn8search269,Medellin,Calasanz,2500000,2,2,70,Inmobiliaria,ESCALA INMOBILIARIA,Ver portal,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/16549-M6830782,6.2635,-75.60364,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.23,Floresta,B,0.68,Si,Si,82.7,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.2635,-75.60364","[URL EXACTA VERIFICADA] Calasanz; 2 hab, 2 baños, 70 m²"
4,2026-07-09,Panorama Belén,turn7search246,Medellin,Florencia Pedregal,1600000,2,2,60,Inmobiliaria,Arrendamientos Panorama Belén,Ver portal,https://panoramabelen.com/apartamento-alquiler-predegal-medellin/8583885,6.292,-75.57164,6.292,-75.572,Sector aproximado; punto microdesplazado para evitar superposición visual,2.88,Tricentenario,A,0.92,Si,Si,82.6,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.292,-75.57164","[URL EXACTA VERIFICADA] Código 8583885; 2 alcobas, 2 baños, 60 m²"
5,2026-07-09,Fincaraiz,turn9search351,Medellin,Calasanz,1950000,2,2,60,Inmobiliaria,Escala Inmobiliaria,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193845863,6.263389,-75.60463,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.34,Floresta,B,0.69,Si,Si,82.5,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.263389,-75.60463","[URL EXACTA VERIFICADA] Calasanz; 2 hab, 2 baños, 60 m²; incluye administración"
6,2026-07-09,Fincaraiz,turn8search327,Medellin,Calasanz,2000000,2,2,65,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193371053,6.263952,-75.603653,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.23,Floresta,B,0.73,Si,Si,82.3,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.263952,-75.603653","[URL EXACTA VERIFICADA] Calasanz; 2 hab, 2 baños, 65 m²; incluye administración"
7,2026-07-09,Fincaraiz,turn8search325,Medellin,Calasanz,2400000,2,2,65,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/193374457,6.26379,-75.604317,6.2635,-75.604,Sector aproximado; punto microdesplazado para evitar superposición visual,4.3,Floresta,B,0.72,Si,Si,82.3,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.26379,-75.604317","[URL EXACTA VERIFICADA] Calasanz parte alta; 2 hab, 2 baños, 65 m²; incluye administración"
8,2026-07-09,Fincaraiz,turn7search230,Medellin,Laureles,1400000,2,1,48,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/193857515,6.246,-75.58964,6.246,-75.59,Sector aproximado; punto microdesplazado para evitar superposición visual,3.53,Suramericana,B,0.88,Si,Si,82.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.246,-75.58964","[URL EXACTA VERIFICADA] Código 193857515; 2 hab, 1 baño, 48 m²"
9,2026-07-09,Fincaraiz,turn7search231,Medellin,Laureles,2200000,2,2,60,Inmobiliaria,Arrendamientos Alnago,Ver portal,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-laureles-medellin/193823951,6.24629,-75.590317,6.246,-75.59,Sector aproximado; punto microdesplazado para evitar superposición visual,3.57,Suramericana,B,0.89,Si,Si,81.9,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.24629,-75.590317","[URL EXACTA VERIFICADA] Código 193823951; 2 hab, 2 baños, 60 m²"
10,2026-07-09,Panorama Belén,turn7search244,Medellin,Belén Las Playas,1800000,2,1,92,Inmobiliaria,Arrendamientos Panorama Belén,Ver portal,https://panoramabelen.com/apartamento-alquiler-las-playas-medellin/9363143,6.237,-75.58564,6.237,-75.586,Sector aproximado; punto microdesplazado para evitar superposición visual,4.0,Industriales,A,1.11,Si,Si,79.6,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.237,-75.58564","[URL EXACTA VERIFICADA] Código 9363143; 2 alcobas, 1 baño, 92 m²"
