ID,FechaConsulta,Fuente,Ref,Municipio,Barrio,Precio,Habitaciones,Banos,Area,TipoArrendador,Arrendador,Contacto,URL,Latitud,Longitud,DistClinicaKm,EstacionMetro,LineaMetro,DistMetroKm,DentroPresupuesto,CumplePerfil,Score,Prioridad,Recomendacion,GoogleMaps,Notas
1,2026-07-09,Fincaraiz,turn2search81,Bello,Niquia,2000000,2,2,52,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/arriendo/apartamentos/bello/antioquia/2-habitaciones,6.337,-75.544,8.15,Niquia,A,0.02,Si,Si,82.5,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.337,-75.544",Comuna 9
2,2026-07-09,FazWaz,turn2search86,Bello,Cabanitas,1300000,2,2,54,Por validar,Por validar,Ver portal,https://www.fazwaz.com.co/apartamento-2-habitacion-en-alquiler/colombia/antioquia/bello,6.326,-75.557,6.64,Madera,A,0.72,Si,Si,79.0,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.326,-75.557",Sector Cabañitas
3,2026-07-09,Fincaraiz,turn2search81,Bello,Amazonia,1850000,2,2,53,Inmobiliaria,Conaltura Inmobiliaria,Ver portal,https://www.fincaraiz.com.co/arriendo/apartamentos/bello/antioquia/2-habitaciones,6.327,-75.556,6.77,Madera,A,0.85,Si,Si,77.8,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.327,-75.556",Cerca estación Madera según snippet
4,2026-07-09,Punto Propiedad,turn2search82,Bello,La Navarra,1500000,2,1,48,Inmobiliaria,Herencia inmobiliaria,Ver portal,https://www.puntopropiedad.com/arriendo/apartamentos/bello/f_2-habitaciones,6.329,-75.56,6.94,Bello,A,1.02,Si,Si,76.2,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.329,-75.56",
5,2026-07-09,Punto Propiedad,turn2search82,Bello,La Navarra,1600000,2,2,54,Inmobiliaria,Herencia inmobiliaria,Ver portal,https://www.puntopropiedad.com/arriendo/apartamentos/bello/f_2-habitaciones,6.329,-75.56,6.94,Bello,A,1.02,Si,Si,76.2,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.329,-75.56",
6,2026-07-09,Punto Propiedad,turn2search82,Bello,La Navarra,2000000,2,2,62,Por validar,Por validar,Ver portal,https://www.puntopropiedad.com/arriendo/apartamentos/bello/f_2-habitaciones,6.329,-75.56,6.94,Bello,A,1.02,Si,Si,76.2,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.329,-75.56",La Navarra
7,2026-07-09,Fincaraiz,turn2search76,Envigado,La Magnolia,1700000,2,2,60,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/arriendo/apartamentos/envigado/antioquia/2-habitaciones/hasta-2400000/dolares,6.176,-75.58,10.23,Ayura,A,0.59,Si,Si,75.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.176,-75.58",4to piso sin ascensor según snippet
8,2026-07-09,Fincaraiz,turn2search76,Envigado,La Magnolia,2300000,2,1,50,Por validar,Por validar,Ver portal,https://www.fincaraiz.com.co/arriendo/apartamentos/envigado/antioquia/2-habitaciones/hasta-2400000/dolares,6.176,-75.58,10.23,Ayura,A,0.59,Si,Si,75.1,Alta,Contactar primero,"https://www.google.com/maps/search/?api=1&query=6.176,-75.58",Cerca a vías principales
9,2026-07-09,Ciencuadras,turn2search61,Sabaneta,Sabaneta,1800000,2,1,45,Por validar,Por validar,Ver portal,https://www.ciencuadras.com/arriendo/sabaneta/apartamento/2hab,6.1513,-75.6157,14.0,Sabaneta,A,0.0,Si,Si,74.6,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.1513,-75.6157",Administración incluida según snippet
10,2026-07-09,Rentola,turn1search5,Sabaneta,Sabaneta,1900000,2,1,60,Por validar,Por validar,Ver portal,https://rentola.co.com/arriendo/apartamento/2-habitaciones/sabaneta,6.1513,-75.6157,14.0,Sabaneta,A,0.0,Si,Si,74.6,Media,Validar distancia y requisitos,"https://www.google.com/maps/search/?api=1&query=6.1513,-75.6157",Sabaneta
